scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
Franklin India Savings Fund,500,10000,0.1,1084,10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1,520,124,112,540,481,87,712,556,778
Franklin India Smaller Companies Fund,500,5000,1.03,7308,10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2,753,755,425,545,689,691,309,738,201
Franklin India Taxshield – Direct Growth,500,500,1.12,4584,10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4,457,635,437,487,506,644,550,552,165
Franklin India Technology Fund,500,5000,1.22,712,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9,9,649,625,218,564,735,216,345,130
HDFC Arbitrage Fund,100,100,0.43,5886,9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2,595,70,41,112,300,98,79,159,505
HDFC Balanced Advantage Fund,100,100,0.88,51042,10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9,793,635,528,553,692,460,417,623,274
HDFC Banking and PSU Debt Fund,100,100,0.39,4805,9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2,395,232,207,196,547,189,668,228,530
HDFC Capital Builder Value Fund,100,100,1.04,5227,10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,6,HDFC Mutual Fund,2,Equity,Value Funds,-0.7,33.7,11.3,102,708,428,509,566,588,550,575,196
HDFC Children’s Gift Fund,100,100,0.96,6157,10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,6,HDFC Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,26.8,12.9,753,583,528,707,697,375,246,724,241
HDFC Corporate Bond Fund,100,100,0.32,23486,10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3,372,239,219,170,394,200,527,232,600
HDFC Credit Risk Debt Fund,100,100,0.95,8437,9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8,7.7,428,270,254,160,474,228,13,397,244
HDFC Dynamic Debt Fund,100,100,0.49,527,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1,428,260,112,275,489,271,102,152,476
HDFC Dynamic PE Ratio Fund,100,100,0.22,30,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1,734,444,422,707,672,349,131,702,687
HDFC Equity Savings Fund,100,100,1.1,2524,10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16,8.8,487,364,312,635,599,329,591,631,172
HDFC Flexi Cap Fund,100,100,1,31672,10,Roshi Jain,3.4,5.15,18.4,1,1.56,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14,775,721,582,557,646,708,632,598,216
HDFC Floating Rate Debt Fund,100,100,0.26,14785,10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9,595,217,179,533,545,136,452,686,655
HDFC Focused 30 Fund,100,100,0.54,3609,10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,6,HDFC Mutual Fund,3,Equity,Focused Funds,16,35.8,11.9,800,737,462,677,701,660,492,665,452
HDFC Gilt Fund,100,100,0.46,1739,10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,3,HDFC Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4,324,95,136,50,158,236,157,58,489
HDFC Gold Fund,100,100,0.18,1402,10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4,788,324,563,118,119,436,648,88,728
HDFC Housing Opportunities Fund,100,100,1.28,1081,5,Rakesh Vyas,2.5,0.23,19.34,1,1.23,6,HDFC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,27.1,7.9,750,593,269,318,158,739,632,339,115
HDFC Hybrid Debt Fund,100,100,1.33,2695,10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6,13.3,8.4,672,335,300,585,569,301,188,675,99
HDFC Hybrid Equity Fund,100,100,1.09,18729,10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3,717,534,428,568,627,408,400,623,176
HDFC Income Fund,100,100,0.51,528,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,3,HDFC Mutual Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1,344,124,112,50,188,227,709,58,464
HDFC Index Fund,100,100,0.2,4210,10,Nirman Morakhia,3.48,-0.64,16.76,1,1.31,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8,258,545,518,595,104,630,632,406,714
HDFC Index Fund,100,100,0.2,7457,10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26,12,164,554,470,497,81,651,648,374,714
HDFC Infrastructure Fund,100,100,1.75,593,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,6,HDFC Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3,804,720,45,465,478,780,417,397,30
HDFC Large and Mid Cap Fund,100,100,1.03,7897,10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8,683,702,518,615,638,689,591,592,201
HDFC Liquid Fund,300,5000,0.2,49008,10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,2,HDFC Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,637,317,40,266,152,714
HDFC Low Duration Fund,100,100,0.43,14779,10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7,540,193,157,523,502,134,175,672,505
HDFC Medium Term Debt Fund,100,100,0.58,3538,10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4,372,239,230,150,420,211,266,246,428
HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009,10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1,771,719,538,630,448,640,512,690,244
HDFC Money Market Fund,100,100,0.21,15176,10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3,595,147,130,769,525,97,717,733,700
HDFC Multi-Asset Fund,100,100,0.88,1643,10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23,10.9,705,469,408,723,643,370,210,623,274
HDFC Overnight Fund,300,100,0.1,20146,10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,1,HDFC Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6,520,6,24,8,193,15,33,9,778
HDFC Retirement Savings Fund,100,100,0.78,2696,7,Srinivasan Ramamurthy,4.32,9.26,15.16,0.85,1.92,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8,768,725,604,732,721,479,364,741,315
HDFC Retirement Savings Fund,100,100,1.03,932,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8,24.5,12.3,723,496,493,510,521,260,42,727,201
HDFC Retirement Savings Fund,100,100,1,140,7,Shobhit Mehrotra,4.39,6.37,11.43,0.73,1.74,4,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,6,10.3,7.8,672,293,264,737,671,371,216,675,216
HDFC Short Term Debt Fund,100,100,0.29,11028,10,Anil Bamboli,2.33,4.24,1.87,1.45,1.23,3,HDFC Mutual Fund,3,Debt,Short Duration Funds,4.7,7,7.3,436,249,219,280,589,179,729,339,628
HDFC Small Cap Fund,100,100,0.8,14648,10,Chirag Setalvad,3.75,6.54,19.61,0.91,1.88,6,HDFC Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5,776,774,566,657,678,742,472,727,307
HDFC Tax Saver Fund,500,500,1.15,9723,10,Roshi Jain,3.71,4.47,15.3,0.88,1.64,6,HDFC Mutual Fund,2,Equity,ELSS Mutual Funds,10,31,10.3,751,665,384,643,602,483,417,646,160
HDFC Top 100 Fund,100,100,1.11,22139,10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,6,HDFC Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9,693,622,462,520,378,655,577,462,170
HDFC Ultra Short Term Fund,100,100,0.34,13303,5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,,540,143,407,748,487,88,678,745,580
HSBC Aggressive Hybrid Fund,500,5000,0.87,4636,10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1,90,408,284,295,204,394,309,354,280
HSBC Arbitrage Fund,500,5000,0.29,2344,9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5,540,83,77,161,360,98,152,296,628
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,500,5000,1.29,8.4,9,Sonal Gupta,0.87,-,17.08,-,0.48,6,HSBC Mutual Fund,0,Other,FoFs Overseas,-4.2,13.6,5.7,44,340,89,94,407,655,407,94,108
HSBC Balanced Advantage Fund,500,5000,0.78,1511,10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8,315,338,279,417,254,332,54,364,315
HSBC Banking and PSU Debt Fund,500,5000,0.23,3779,10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,3,HSBC Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6,6.5,244,179,144,74,657,217,768,88,681
HSBC Business Cycles Fund,500,5000,1.42,535,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,6,HSBC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7,28,8.7,707,612,310,470,486,669,577,524,84
HSBC Conservative Hybrid Fund,500,5000,1.34,122,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5,251,293,239,275,239,295,227,374,95
HSBC Corporate Bond Fund,500,5000,0.35,157,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,2,HSBC Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3,213,679,550,52,227,219,674,67,570
HSBC Corporate Bond Fund,500,5000,0.29,6772,10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,3,HSBC Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6,305,223,245,76,292,270,741,88,628
HSBC Credit Risk Fund,500,5000,0.85,130,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,4,HSBC Mutual Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1,446,159,37,43,53,275,5,60,290
HSBC Dynamic Bond Fund,500,5000,0.29,200,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8,436,136,171,52,227,219,674,67,628
HSBC ELSS Fund,500,500,1.16,3007,10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,6,HSBC Mutual Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8,90,483,279,382,142,549,472,422,156
HSBC Equity Hybrid Fund,500,5000,1,474,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3,213,679,550,295,204,394,309,354,216
HSBC Equity Savings Fund,500,5000,0.62,150,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,3,HSBC Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5,281,361,239,749,655,318,364,718,403
HSBC Flexi Cap Fund,500,5000,1.23,3097,10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,6,HSBC Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2,90,571,335,409,172,571,527,454,127
HSBC Flexi Debt Fund,500,5000,0.94,54,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3,213,679,550,52,227,219,674,67,249
HSBC Gilt Fund,500,5000,0.48,231,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,3,HSBC Mutual Fund,3,Debt,Gilt Mutual Funds,5,5.4,7.1,470,136,202,59,188,247,157,73,481
HSBC Infrastructure Fund,500,5000,1.14,1476,10,Venugopal Manghat,3.69,10.03,16.32,0.6,1.78,6,HSBC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3,765,706,342,639,736,581,131,695,163
HSBC Large & Mid Cap Fund,500,5000,1.08,1992,4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,6,HSBC Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,,113,534,407,436,327,529,472,475,181
HSBC Large Cap Fund,500,5000,1.26,1405,10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,6,HSBC Mutual Fund,2,Equity,Large Cap Mutual Funds,0,23.3,10.6,128,473,396,333,42,610,577,318,118
HSBC Liquid Fund,500,5000,0.12,12043,10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,2,HSBC Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3,631,45,45,742,324,40,256,190,772
HSBC Low Duration Fund,500,5000,0.25,467,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8,496,147,94,72,168,210,11,110,665
HSBC Managed Solutions Conservative Fund,500,5000,0.54,34,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,3,HSBC Mutual Fund,2,Other,FoFs Domestic,3.2,6.7,5.9,298,227,98,93,78,289,76,105,452
HSBC Managed Solutions Growth Fund,500,5000,1.06,34,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,6,HSBC Mutual Fund,2,Other,FoFs Domestic,0.6,22.2,9.2,149,450,335,439,387,411,452,475,187
HSBC Managed Solutions Moderate Fund,500,5000,0.76,58,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,5,HSBC Mutual Fund,2,Other,FoFs Domestic,1.2,19,8.7,184,404,310,384,227,361,227,406,327
HSBC Medium Duration Fund,500,5000,0.4,643,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7,6.7,383,249,157,91,397,236,175,142,519
HSBC Medium to Long Duration Fund,500,5000,0.68,41,10,Jalpan Shah,0.11,-0.16,3.1,1.54,0.09,3,HSBC Mutual Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5,273,70,144,30,137,256,733,36,366
HSBC Midcap Fund,500,5000,0.74,6980,10,Vihang Naik,3.33,-1.16,14.76,0.8,1.53,6,HSBC Mutual Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8,251,561,312,533,73,457,294,575,337
HSBC Money Market Fund,500,5000,0.25,716,10,Shriram Ramanathan,2.45,2.43,0.61,1.31,1.12,2,HSBC Mutual Fund,1,Debt,Money Market Funds,5.2,4.9,6,496,95,107,310,447,85,713,296,665
HSBC Overnight Fund,500,5000,0.1,2759,4,Kapil Punjabi,0.92,0.65,0.34,0.44,0.16,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,101,222,5,49,42,778
HSBC Short Duration Fund,500,5000,0.27,3592,10,Shriram Ramanathan,1.18,4.85,1.72,2.63,0.78,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6,6.7,344,179,157,135,626,162,764,150,649
HSBC Small Cap Fund,500,5000,0.77,8625,9,Venugopal Manghat,4.16,9.87,17.95,0.82,2.08,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7,487,779,515,716,732,694,325,773,322
HSBC Tax Saver Equity Fund,500,5000,1.3,175,10,Gautam Bhupal,3.05,-1.65,16.52,0.96,1.26,6,HSBC Mutual Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9,71,503,321,439,58,597,562,354,104
HSBC Ultra Short Duration Fund,500,5000,0.22,2279,3,Mahesh A Chhabria,3.5,2.48,0.54,1.17,1.69,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,,575,112,407,601,453,75,689,659,687
HSBC Value Fund,500,5000,0.84,7781,10,Venugopal Manghat,3.18,6.92,17.01,0.96,1.69,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33,11.6,701,695,449,480,688,650,562,659,295
ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754,10,Manish Banthia,2.39,2.84,2.25,0.98,1.38,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2,689,264,288,291,504,206,591,454,403
ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393,10,Dharmesh Kakkad,5.89,7.45,8.68,0.53,1.99,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8,739,434,518,784,694,345,86,762,728
ICICI Pru Balanced Advantage Fund,100,500,0.91,44515,10,Sankaran Naren,5.59,5.34,8.33,0.54,1.84,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4,698,410,387,782,653,339,95,711,260
ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871,10,Roshan Chutkey,2.23,3.74,23.41,0.87,1.06,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7,24.9,9.7,707,506,358,258,572,778,400,268,172
ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265,10,Rahul Goswami,2.64,4.03,1.75,1.21,1.37,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2,656,239,207,342,585,168,699,449,543
ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89,5,Kayzad Eghlim,2.76,9.68,20.2,0.88,1.47,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35,,808,727,407,371,728,751,417,533,795
ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866,4,Sankaran Naren,3.37,4.95,11.73,0.6,1.6,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,,752,461,407,550,633,380,131,623,58
ICICI Pru Bluechip Fund,100,100,1.06,34198,10,Anish Tawakley,3.59,3.05,15.23,0.9,1.53,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3,404,616,493,624,522,482,452,575,187
ICICI Pru Bond Fund,100,5000,0.6,2223,10,Manish Banthia,1.2,1.58,2.69,1.26,0.72,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3,496,239,219,137,355,233,706,137,413
ICICI Pru Child Care Fund,100,5000,1.69,844,10,Manish Banthia,2.86,2.18,11.15,0.74,1.42,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1,19.8,8.8,177,413,312,392,426,366,227,496,38
ICICI Pru Corporate Bond Fund,100,100,0.3,16998,10,Rahul Goswami,3.07,2.35,1.67,0.68,1.52,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7,7.3,656,249,219,449,438,157,183,572,619
ICICI Pru Credit Risk Fund,100,100,0.86,7584,10,Manish Banthia,3.18,3.97,1.59,0.42,2.15,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8,8.1,656,270,284,480,582,149,33,781,284
ICICI Pru Debt Management Fund,100,100,0.41,141,10,Manish Banthia,3.01,2.07,1.61,0.53,1.38,3,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,5.8,6.7,7,656,227,190,431,410,152,86,454,515
ICICI Pru Dividend Yield Equity Fund,100,5000,0.66,1258,9,Mittul Kalawadia,5.06,10.39,15.42,0.83,1.94,6,ICICI Prudential Mutual Fund,0,Equity,Dividend Yield Funds,8.5,37.6,12.1,732,750,480,774,741,493,332,749,378
ICICI Pru Equity & Debt Fund,100,5000,1.2,21232,10,Sankaran Naren,4.15,9.56,14.26,0.84,1.75,6,ICICI Prudential Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3,701,656,593,715,726,437,348,680,141
ICICI Pru Equity – Arbitrage Fund,1000,5000,0.39,11272,10,Kayzad Eghlim,1.27,1.59,0.75,0.63,0.99,1,ICICI Prudential Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,595,91,77,144,357,112,152,232,530
ICICI Pru Equity Savings Fund,100,5000,0.54,4936,8,Kayzad Eghlim,5.26,4.82,4.82,0.57,1.84,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9,678,330,269,776,623,298,114,711,452
ICICI Pru Exports and Services Fund,1000,5000,1.76,1040,10,Sankaran Naren,4.35,6.7,14.06,0.78,1.78,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,30.7,11.4,631,659,437,735,682,434,266,695,21
ICICI Pru Floating Interest Fund,100,500,0.62,11650,10,Rahul Goswami,2.75,3.22,1.77,0.47,1.46,2,ICICI Prudential Mutual Fund,2,Debt,Floater Mutual Funds,6.3,7,7.2,683,249,207,368,541,171,64,524,403
ICICI Pru FMCG Fund,100,5000,1.44,1156,10,Priyanka Khandelwal,3.73,7.44,11.56,0.47,1.61,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,21.1,24.5,13.5,807,496,566,649,693,374,64,631,78
ICICI Pru Focused Equity Fund,100,5000,0.59,3920,10,Sankaran Naren,3.27,4.86,15.84,0.89,1.62,6,ICICI Prudential Mutual Fund,4,Equity,Focused Funds,6.1,31.2,13.4,675,671,563,510,627,527,432,640,422
ICICI Pru Gilt Fund,1000,5000,0.56,2692,10,Rahul Goswami,1.22,1.87,3.2,0.69,0.82,3,ICICI Prudential Mutual Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4,683,227,300,138,387,258,188,159,445
ICICI Pru Global Stable Equity Fund,1000,5000,1.26,111,10,Rohan Maru,1.69,-,13.7,-,0.9,6,ICICI Prudential Mutual Fund,0,Other,FoFs Overseas,3.4,18,10.3,310,387,384,188,407,421,407,185,118
ICICI Pru Income Optimizer Fund,1000,5000,0.26,272,10,Dharmesh Kakkad,5.43,5.75,3.85,0.47,2.37,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8,720,335,312,779,660,277,64,789,655
ICICI Pru India Equity FOF – Direct Growth,100,500,0.88,62,3,Dharmesh Kakkad,3.95,6.83,15.57,0.84,1.71,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,4.9,32.2,,457,678,407,682,684,506,348,665,274
ICICI Pru India Opportunities Fund,100,5000,0.73,7644,4,Sankaran Naren,3.51,9.93,19.93,0.99,1.67,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,11.7,44.7,,769,779,407,607,733,747,610,652,340
ICICI Pru Infrastructure Fund,100,5000,1.64,2269,10,Ihab Dalwai,4.04,11.76,20.09,0.78,1.83,6,ICICI Prudential Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44,15.1,812,776,609,696,751,749,266,710,44
ICICI Pru Large & Mid Cap Fund,100,5000,1.09,7044,10,Ihab Dalwai,3.99,7.49,17.05,0.92,1.68,6,ICICI Prudential Mutual Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7,748,700,574,687,695,654,492,656,176
ICICI Pru Liquid Fund,99,99,0.2,47245,10,Rahul Goswami,4.39,1.39,0.38,0.78,0.94,3,ICICI Prudential Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,737,327,40,266,205,714
ICICI Pru Long Term Equity Fund,500,500,1.23,9819,10,Harish Bihani,0.06,6.9,4.06,5.04,0.04,6,ICICI Prudential Mutual Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5,119,593,442,26,686,282,770,27,127
ICICI Pru Long Term Wealth Enhancement Fund,0,500,0.97,32,5,Rajat Chandak,3.33,0.78,16.64,0.95,1.39,6,ICICI Prudential Mutual Fund,0,Equity,ELSS Mutual Funds,-0.7,33.7,11.3,102,708,428,533,244,614,550,462,234
ICICI Pru Manufacturing Fund,100,5000,1.7,645,4,Anish Tawakley,3.44,7.67,17.45,0.94,1.71,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,8.6,35.6,,734,735,407,574,698,673,527,665,36
ICICI Pru Medium Term Bond Fund,1000,5000,0.77,6305,10,Manish Banthia,1.69,2.74,2.28,0.69,1.29,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6,595,267,245,188,495,207,188,384,322
ICICI Pru MidCap Fund,100,5000,1.16,3492,10,Lalit Kumar,3.32,0.33,17.76,0.96,1.62,6,ICICI Prudential Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1,352,693,422,528,171,686,562,640,156
ICICI Pru Money Market Fund,100,500,0.21,11475,10,Rahul Goswami,4.38,2.82,0.67,1.25,1.72,3,ICICI Prudential Mutual Fund,3,Debt,Money Market Funds,5.5,5.4,6.1,575,136,112,736,502,91,705,669,700
